City,report_year,FTE Count,EDSIGHT_ENROLLMENT,Teacher FTE Count,Counselor FTE Count,has_nulls,Education spending,Inter_Gov_Rev,Enrollment
CANTON,2005,296.5,,102.6,8.5,False,,,
CANTON,2006,308.4,,103.5,8.5,False,,,
CANTON,2007,304.6,,103.1,9.4,False,20582466.0,4368195.0,1734.22
CANTON,2008,304.6,1739.0,100.0,7.4,False,27715327.0,10842779.0,1731.04
CANTON,2009,308.2000000000001,1761.0,102.5,9.6,False,23364439.0,5757548.0,1783.9
CANTON,2010,301.0,1775.0,103.2,8.8,False,23152901.0,5376525.0,1793.32
CANTON,2011,310.80000000000007,1789.0,106.8,9.9,False,24063033.0,5531930.0,1811.36
CANTON,2012,318.9,1751.0,105.8,9.9,False,25324536.0,7311860.0,1771.73
CANTON,2013,307.9,1758.0,106.2,8.7,False,25709116.0,6277721.0,1775.95
CANTON,2014,319.50000000000006,1700.0,103.2,9.7,False,26705326.0,6557094.0,1726.71
CANTON,2015,279.1,1629.0,99.5,9.1,False,27426241.0,7136000.0,1659.42
CANTON,2016,313.9,1633.0,99.4,10.2,False,27532880.0,7133342.0,1638.21
CANTON,2017,315.7,1623.0,97.8,10.5,False,,,
CANTON,2018,314.6,1608.0,102.7,10.5,False,,,
CHAPLIN,2002,24.1,,,,True,,,
CHAPLIN,2003,80.1,,20.4,1.0,True,,,
CHAPLIN,2004,47.3,,19.0,1.0,True,,,
CHAPLIN,2005,48.1,,18.6,1.2,True,,,
CHAPLIN,2006,48.5,,19.0,1.2,True,,,
CHAPLIN,2007,47.60000000000001,,18.6,1.0,True,5366747.0,2627308.0,350.37
CHAPLIN,2008,44.3,210.0,19.0,1.0,True,5602595.0,2658993.0,342.26
CHAPLIN,2009,47.0,178.0,18.5,1.0,True,5908056.0,2773117.0,314.11
CHAPLIN,2010,45.7,173.0,17.0,1.0,True,5945322.0,2722137.0,290.45
CHAPLIN,2011,42.6,187.0,15.9,1.0,True,5774865.0,2661287.0,288.58
CHAPLIN,2012,42.6,182.0,16.4,1.0,True,5626443.0,2646028.0,301.79
CHAPLIN,2013,41.1,185.0,15.4,1.0,True,5931939.0,2611637.0,298.57
CHAPLIN,2014,41.1,183.0,15.4,1.0,True,6101752.0,2725419.0,303.73
CHAPLIN,2015,42.5,178.0,17.1,1.0,True,6331588.0,2854128.0,291.74
CHAPLIN,2016,41.2,176.0,16.3,1.0,True,6158721.0,2704394.0,287.63
CHAPLIN,2017,19.6,158.0,15.3,1.0,True,,,
CHAPLIN,2018,47.0,148.0,12.8,1.5,True,,,
CHESHIRE,2002,243.6,,,,True,,,
CHESHIRE,2003,722.5,,294.4,22.5,False,,,
CHESHIRE,2004,720.8,,294.1,21.5,False,,,
CHESHIRE,2005,726.9,,285.7,23.0,False,,,
CHESHIRE,2006,709.9,,294.3,23.0,False,,,
CHESHIRE,2007,723.5,,290.9,22.5,False,57588979.0,19550029.0,5141.24
CHESHIRE,2008,935.5,5144.0,299.7,21.5,False,59146513.0,21637810.0,5096.8
CHESHIRE,2009,737.4000000000002,5032.0,299.0,22.5,False,63051443.0,22600186.0,4997.44
CHESHIRE,2010,722.4000000000002,4971.0,282.7,21.1,False,63459814.0,20817817.0,4943.37
CHESHIRE,2011,724.0000000000001,4825.0,270.8,21.0,False,65036092.0,21973811.0,4792.48
CHESHIRE,2012,722.7,4809.0,272.2,21.6,False,67408514.0,23993678.0,4784.84
CHESHIRE,2013,730.9,4674.0,276.2,22.6,False,68815590.0,23677909.0,4654.92
