City,report_year,Education spending,Inter_Gov_Rev,Enrollment
EASTON,2012,26784954.0,2366020.0,1509.12
ELLINGTON,2012,33773953.0,14663268.0,2766.34
ENFIELD,2012,71140000.0,43580000.0,5917.68
MANCHESTER,2012,112033000.0,47260000.0,7247.56
MANSFIELD,2012,32491645.0,19796256.0,1978.65
MARLBOROUGH,2012,14996229.0,4225526.0,1218.82
MERIDEN,2012,111433666.0,74930580.0,9142.03
MIDDLEBURY,2012,18677886.0,1594083.0,1348.29
MIDDLEFIELD,2012,11332311.0,2358073.0,688.02
MIDDLETOWN,2012,76965000.0,35880000.0,5296.92
MILFORD,2012,114635000.0,26930000.0,6908.15
MONROE,2012,56657002.0,12747056.0,3661.19
MONTVILLE,2012,39577389.0,21184224.0,2633.53
MORRIS,2012,5803371.0,727128.0,355.86
NAUGATUCK,2012,62380519.0,37395247.0,4753.89
NEW BRITAIN,2012,132786000.0,106402000.0,11011.87
NEW CANAAN,2012,79172586.0,10348019.0,4207.93
NEW FAIRFIELD,2012,33498893.0,9316070.0,2807.16
NEW HARTFORD,2012,16544942.0,4965034.0,1136.09
NEW HAVEN,2012,203686746.0,237628410.0,18002.23
NEW LONDON,2012,43863439.0,38557674.0,3508.54
NEW MILFORD,2012,64012160.0,22747545.0,4586.98
NEWINGTON,2012,68303000.0,27134000.0,4476.9
NEWTOWN,2012,74459845.0,14748930.0,5423.83
NORFOLK,2012,4437501.0,972549.0,228.02
NORTH BRANFORD,2012,32241566.0,12310884.0,2277.87
NORTH CANAAN,2012,8163226.0,2769732.0,426.84
NORTH HAVEN,2012,49716236.0,10631965.0,3607.9
NORTH STONINGTON,2012,13260002.0,6324903.0,810.52
NORWALK,2012,173117163.0,35204996.0,11227.33
NORWICH,2012,72021000.0,42703000.0,5381.0
OLD LYME,2012,23285508.0,1162359.0,1186.5
OLD SAYBROOK,2012,24144507.0,3610035.0,1539.31
ORANGE,2012,39615890.0,4104403.0,2507.44
OXFORD,2012,27912746.0,8938426.0,2216.33
PLAINFIELD,2012,35711515.0,22623295.0,2474.25
PLAINVILLE,2012,36497815.0,15944124.0,2444.32
PLYMOUTH,2012,25174301.0,13940909.0,1819.8
POMFRET,2012,10355646.0,4495615.0,692.87
PORTLAND,2012,19793291.0,6347357.0,1420.11
PRESTON,2012,11166085.0,5603798.0,609.7000000000002
PROSPECT,2012,20218427.0,6012381.0,1506.64
PUTNAM,2012,18099219.0,11189842.0,1256.68
REDDING,2012,35106197.0,3558675.0,1726.46
RIDGEFIELD,2012,87248296.0,12297794.0,5369.59
ROCKY HILL,2012,32952537.0,9149211.0,2620.64
ROXBURY,2012,6557435.0,214250.0,283.95
SALEM,2012,10625583.0,4093867.0,704.99
SALISBURY,2012,7959258.0,1488571.0,384.62
SCOTLAND,2012,4545284.0,1892936.0,227.5
SEYMOUR,2012,32887244.0,14272163.0,2411.17
SHARON,2012,6656208.0,533379.0,260.67
SHELTON,2012,71812630.0,15116799.0,5367.87
SHERMAN,2012,8941173.0,1109021.0,591.84
SIMSBURY,2012,68933265.0,12534007.0,4733.05
SOMERS,2012,21936853.0,13133908.0,1613.16
SOUTH WINDSOR,2012,70996075.0,20555762.0,4506.15
SOUTHBURY,2012,41344692.0,3851708.0,2910.48
SOUTHINGTON,2012,88326000.0,31838000.0,6788.68
SPRAGUE,2012,6406349.0,3786149.0,456.5
STAFFORD,2012,27449756.0,13888783.0,1836.48
STAMFORD,2012,252544074.0,45996081.0,15269.37
STERLING,2012,8082820.0,4266013.0,644.3
STONINGTON,2012,35002770.0,5544730.0,2457.92
STRATFORD,2012,102808638.0,36862714.0,7493.05
SUFFIELD,2012,34204716.0,17887712.0,2425.91
THOMASTON,2012,15360953.0,8001718.0,1194.26
THOMPSON,2012,17604208.0,10131313.0,1214.17
TOLLAND,2012,39416894.0,16850972.0,3018.4
TORRINGTON,2012,69524879.0,36025609.0,4622.59
TRUMBULL,2012,99657036.0,16295453.0,6799.25
UNION,2012,1667621.0,535465.0,103.0
VERNON,2012,52300137.0,27838711.0,3750.33
VOLUNTOWN,2012,6573552.0,3341400.0,435.94
WALLINGFORD,2012,95875000.0,36020000.0,6572.14
WARREN,2012,2995840.0,154090.0,177.14
WASHINGTON,2012,9328359.0,302399.0,400.18
WATERBURY,2012,175180000.0,160695000.0,17533.14
WATERFORD,2012,47785199.0,7847691.0,3047.76
WATERTOWN,2012,39592522.0,18470161.0,3097.54
WEST HARTFORD,2012,149600000.0,46477000.0,10439.32
WEST HAVEN,2012,89048477.0,58881010.0,7226.6
WESTBROOK,2012,15984126.0,3067410.0,941.79
WESTON,2012,50570007.0,5694609.0,2485.24
WESTPORT,2012,113131404.0,4305131.0,5720.86
WETHERSFIELD,2012,55269575.0,16674045.0,3857.07
WILLINGTON,2012,12568247.0,5042271.0,790.69
WILTON,2012,80058760.0,11141142.0,4309.63
WINCHESTER,2012,20783947.0,10786092.0,1341.97
WINDHAM,2012,47650608.0,36112329.0,3263.2
WINDSOR,2012,67390801.0,21115541.0,4073.98
WINDSOR LOCKS,2012,30503362.0,16318822.0,1861.37
WOLCOTT,2012,35565637.0,19263593.0,2908.38
WOODBRIDGE,2012,26627017.0,2628553.0,1487.03
WOODBURY,2012,20480193.0,1317658.0,1330.74
WOODSTOCK,2012,16588443.0,7267052.0,1337.59
PORTLAND,2015,21094353.0,6788227.0,1382.54
PRESTON,2015,11560965.0,5644492.0,609.25
PROSPECT,2015,22117025.0,5723898.0,1409.39
PUTNAM,2015,18932080.0,11351549.0,1196.73
REDDING,2015,36249453.0,4064199.0,1534.99
RIDGEFIELD,2015,94568454.0,12774311.0,5139.56
ROCKY HILL,2015,38973084.0,9434186.0,2646.28
ROXBURY,2015,6978595.0,206168.0,230.06
SALEM,2015,11559640.0,4577707.0,649.0700000000002
SALISBURY,2015,8230306.0,1133784.0,341.6600000000001
SCOTLAND,2015,4691725.0,1983643.0,219.28
SEYMOUR,2015,36132376.0,15026084.0,2399.08
SHARON,2015,6819517.0,645482.0,232.1
SHELTON,2015,75053250.0,15753536.0,5153.74
SHERMAN,2015,9615620.0,1251577.0,537.91
SIMSBURY,2015,71510265.0,12761784.0,4358.01
SOMERS,2015,24073247.0,12535916.0,1484.67
SOUTH WINDSOR,2015,75058105.0,20827429.0,4400.62
SOUTHBURY,2015,43729317.0,3508992.0,2657.21
SOUTHINGTON,2015,95625000.0,31392000.0,6721.36
SPRAGUE,2015,6544087.0,3841555.0,452.71
STAFFORD,2015,29723966.0,14075480.0,1627.54
STAMFORD,2015,272876527.0,48297407.0,15773.82
STERLING,2015,8378283.0,4172963.0,607.06
