City,report_year,Enrollment,FTE Count,Education spending,has_nulls
COLUMBIA,2012,737.82,93.19999999999999,11931065.0,False
COLUMBIA,2013,722.44,89.5,12036200.0,False
COLUMBIA,2014,705.4400000000003,85.2,12716452.0,False
COLUMBIA,2015,701.12,86.2,12592285.0,False
COLUMBIA,2016,697.64,85.89999999999999,13317717.0,False
CORNWALL,2007,201.6,30.3,3770035.0,False
CORNWALL,2008,201.31,29.2,4411874.0,False
CORNWALL,2009,186.05,28.299999999999997,4016396.0,False
CORNWALL,2010,182.19,28.2,4082378.0,False
CORNWALL,2011,169.3,30.3,4042208.0,True
CORNWALL,2012,159.88,30.0,4096802.0,True
CORNWALL,2013,152.7,30.4,4283594.0,True
CORNWALL,2014,144.15,30.1,4268248.0,True
CORNWALL,2015,133.1,28.599999999999998,4227939.0,True
CORNWALL,2016,128.41,29.2,4320167.0,True
COVENTRY,2007,2115.82,314.5,22712102.0,True
COVENTRY,2008,2074.67,315.1,31080910.0,False
COVENTRY,2009,2024.59,318.6,25815014.0,False
COVENTRY,2010,1987.86,304.69999999999993,25029076.0,False
COVENTRY,2011,1927.34,288.09999999999997,25860037.0,False
COVENTRY,2012,1889.13,305.6,27995105.0,False
COVENTRY,2013,1853.0,304.69999999999993,28131806.0,False
COVENTRY,2014,1820.3,304.9,29631593.0,False
COVENTRY,2015,1777.4,315.5,29541973.0,False
COVENTRY,2016,1736.74,328.6,30014124.0,False
CROMWELL,2007,1996.86,288.0,24063006.0,False
CROMWELL,2008,1983.49,288.4,32372132.0,False
CROMWELL,2009,2009.77,313.5,26760282.0,False
CROMWELL,2010,2050.33,334.8,26596305.0,False
CROMWELL,2011,2019.6,320.4,26568344.0,False
CROMWELL,2012,2034.61,336.9,28116330.0,False
CROMWELL,2013,2044.45,336.3,28339843.0,False
CROMWELL,2014,2061.85,333.90000000000003,29649940.0,False
CROMWELL,2015,2099.62,333.2,30610852.0,False
CROMWELL,2016,2104.38,331.8,31204449.0,False
DANBURY,2007,9884.65,1417.4,107317345.0,False
DANBURY,2008,9964.78,1433.6999999999998,114914158.0,False
DANBURY,2009,10132.82,1432.6000000000001,121411300.0,False
DANBURY,2010,10255.04,1437.5,117631730.0,False
DANBURY,2011,10482.72,1458.1000000000001,121036352.0,False
DANBURY,2012,10615.37,1412.3000000000002,129949781.0,False
DANBURY,2013,10727.08,1443.4000000000003,130444875.0,False
DANBURY,2014,10577.42,1536.9,135882098.0,False
DANBURY,2015,10686.85,1613.3999999999999,141957467.0,False
DANBURY,2016,10870.82,1634.4,144825555.0,False
DARIEN,2007,4608.99,727.7,64441577.0,False
DARIEN,2008,4665.16,736.6,89629028.0,False
DARIEN,2009,4714.62,745.2,74728039.0,False
DARIEN,2010,4794.63,744.6,76971943.0,False
DARIEN,2011,4848.08,740.6000000000001,80795051.0,False
DARIEN,2012,4834.92,729.6999999999999,86509642.0,False
DARIEN,2013,4874.42,727.5,90216733.0,False
DARIEN,2014,4930.9,784.4000000000001,96322274.0,False
DARIEN,2015,4917.96,798.3000000000001,99103639.0,False
DARIEN,2016,4859.94,826.6999999999999,102402057.0,False
DEEP RIVER,2007,694.14,221.90000000000003,9087372.0,False
DEEP RIVER,2008,689.53,214.50000000000006,10083786.0,False
DEEP RIVER,2009,661.47,214.1,9898159.0,False
DEEP RIVER,2010,654.64,209.60000000000002,9469760.0,False
DEEP RIVER,2011,653.4,211.1,9820587.0,False
DEEP RIVER,2012,648.0,212.3,10717646.0,False
DEEP RIVER,2013,656.0,209.4,10720924.0,False
DEEP RIVER,2014,644.6,207.5,11206997.0,False
DEEP RIVER,2015,637.6,200.89999999999998,11549813.0,False
DEEP RIVER,2016,624.4,196.2,11812374.0,False
DERBY,2007,1560.34,216.7,17635611.0,False
DERBY,2008,1553.87,234.0,23663301.0,False
DERBY,2009,1568.98,222.5,19873813.0,False
DERBY,2010,1580.69,213.1,20036381.0,True
DERBY,2011,1590.32,222.4,20527006.0,True
DERBY,2012,1572.45,220.70000000000002,18898160.0,True
DERBY,2013,1613.19,225.2,19314326.0,False
DERBY,2014,1632.89,248.10000000000002,20697007.0,False
DERBY,2015,1587.76,256.29999999999995,22108184.0,False
DERBY,2016,1544.6,261.8,23611655.0,True
EAST GRANBY,2007,938.26,147.1,11079224.0,False
EAST GRANBY,2008,923.89,151.50000000000003,11887509.0,False
EAST GRANBY,2009,906.36,149.9,12449844.0,False
EAST GRANBY,2010,939.07,150.79999999999998,12761001.0,False
EAST GRANBY,2011,923.78,160.4,12993868.0,False
EAST GRANBY,2012,890.4,160.4,13237128.0,False
EAST GRANBY,2013,901.36,160.4,13829200.0,False
EAST GRANBY,2014,921.4,157.9,14282030.0,False
EAST GRANBY,2015,923.01,160.2,15013695.0,False
EAST GRANBY,2016,906.8,170.3,15333060.0,False
EAST HAMPTON,2007,2112.58,310.6,23441786.0,False
EAST HAMPTON,2008,2085.2,323.8,32650534.0,False
EAST HAMPTON,2009,2066.07,343.9,27066537.0,False
EAST HAMPTON,2010,2040.47,336.4,27509315.0,False
EAST HAMPTON,2011,2004.01,338.8,28545580.0,False
EAST HAMPTON,2012,1996.51,330.3,29238599.0,False
EAST HAMPTON,2013,1970.9,321.0,29894213.0,False
EAST HAMPTON,2014,1987.41,320.59999999999997,31395954.0,False
EAST HAMPTON,2015,1942.04,308.0,31336281.0,False
EAST HAMPTON,2016,1984.02,298.9,31881405.0,False
EAST HARTFORD,2007,8356.85,1232.9,84427000.0,False
EAST HARTFORD,2008,8062.01,1241.0,114773000.0,False
EAST HARTFORD,2009,7917.59,1270.1,92242000.0,False
EAST HARTFORD,2010,8009.39,1226.1,84284000.0,False
EAST HARTFORD,2011,8027.42,1240.2,89434000.0,False
EAST HARTFORD,2012,8141.51,1243.5000000000002,97696000.0,False
EAST HARTFORD,2013,8035.22,1253.9,100759000.0,False
EAST HARTFORD,2014,8165.149999999998,1271.5000000000002,107307000.0,False
EAST HARTFORD,2015,8160.66,1349.5,103700000.0,False
EAST HARTFORD,2016,8092.09,1356.9,106475000.0,False
EAST HAVEN,2007,3932.63,570.8,42210468.0,False
EAST HAVEN,2008,3888.36,561.9,52792124.0,False
EAST HAVEN,2009,3810.03,564.3,47501312.0,False
EAST HAVEN,2010,3803.24,557.9,44137267.0,False
EAST HAVEN,2011,3774.85,500.4,43749500.0,False
EAST HAVEN,2012,3674.27,479.80000000000007,48339563.0,False
EAST HAVEN,2013,3641.21,457.0,48455006.0,False
EAST HAVEN,2014,3476.63,497.40000000000003,50428317.0,False
EAST HAVEN,2015,3375.94,543.3,50447708.0,False
EAST HAVEN,2016,3414.38,515.8,52743757.0,False
EAST LYME,2007,2992.91,535.1999999999998,38111914.0,False
EAST LYME,2008,3026.43,523.1,40271673.0,False
EAST LYME,2009,2934.53,500.9,42299028.0,False
EAST LYME,2010,2878.61,525.0,41427641.0,False
EAST LYME,2011,2878.75,571.5,43090693.0,False
EAST LYME,2012,2784.26,523.8999999999999,45459821.0,False
EAST LYME,2013,2735.37,524.5999999999999,46632038.0,False
EAST LYME,2014,2690.14,538.5,48126767.0,False
EAST LYME,2015,2648.39,564.9,49709355.0,False
EAST LYME,2016,2615.95,554.5999999999999,50487799.0,False
EAST WINDSOR,2007,1613.36,231.9,17052072.0,False
EAST WINDSOR,2008,1560.67,231.50000000000003,23401901.0,False
