VName,FYEAR,Payment
Glastonbury,2007,3883681.0
Glastonbury,2008,5997448.0
Glastonbury,2009,6050168.0
Glastonbury,2010,5312441.0
Glastonbury,2011,5352481.0
Glastonbury,2012,6181805.0
Glastonbury,2013,6408654.0
Glastonbury,2014,6512384.0
Glastonbury,2015,6536191.0
Glastonbury,2016,6585691.0
Glastonbury,2017,6586711.0
Glastonbury,2018,5659951.0
Granby,2004,3890627.0
Granby,2005,4003649.0
Granby,2006,4183745.0
Granby,2007,4197712.0
Granby,2008,5144984.0
Granby,2009,5362372.0
Granby,2010,4587219.0
Granby,2011,4605284.0
Granby,2012,5395365.0
Granby,2013,5485745.0
Granby,2014,5521956.0
Granby,2015,5543975.0
Granby,2016,5587986.0
Granby,2017,5526041.0
Granby,2018,4813010.0
Greenwich,2004,1967171.0
Greenwich,2005,2219455.0
Greenwich,2006,2386859.0
Greenwich,2007,2063004.0
Greenwich,2008,3379632.0
Greenwich,2009,3434462.0
Greenwich,2010,2792703.0
Greenwich,2011,2952578.0
Greenwich,2012,3462976.0
Greenwich,2013,3553320.0
Greenwich,2014,3794659.0
Greenwich,2015,3647012.0
Greenwich,2016,3127328.0
Greenwich,2017,361188.0
Greenwich,2018,61729.0
Griswold,2004,8933413.0
Griswold,2005,9231517.0
Griswold,2006,9479487.0
Griswold,2007,9517549.0
Griswold,2008,10309445.0
Griswold,2009,10689579.0
Griswold,2010,9156680.0
Griswold,2011,9185368.0
Griswold,2012,10747613.0
Griswold,2013,10881779.0
Griswold,2014,10937610.0
Griswold,2015,10923542.0
Griswold,2016,10980367.0
Griswold,2017,10767780.0
Griswold,2018,9361322.0
Groton,2004,22379312.0
Groton,2005,22526582.0
Groton,2006,23223115.0
Groton,2007,23258804.0
Groton,2008,24348341.0
Groton,2009,25308705.0
Groton,2010,21705313.0
Groton,2011,21775544.0
Groton,2012,25358393.0
Groton,2013,25540640.0
Groton,2014,25571522.0
Groton,2015,25532449.0
Groton,2016,25753096.0
Groton,2017,24979526.0
Groton,2018,24903311.0
Guilford,2004,2624359.0
Guilford,2005,2842237.0
Guilford,2006,2927919.0
Guilford,2007,2884466.0
Guilford,2008,2979932.0
Guilford,2009,3056651.0
Guilford,2010,2642237.0
Guilford,2011,2606888.0
Guilford,2012,3044113.0
Guilford,2013,3120738.0
Guilford,2014,3169203.0
Guilford,2015,3083678.0
Guilford,2016,2978067.0
Guilford,2017,3028579.0
Guilford,2018,2354601.0
Hamden,2004,17314742.0
Hamden,2005,18480523.0
Hamden,2006,19375046.0
Hamden,2007,19511592.0
Hamden,2008,22102649.0
Hamden,2009,22953133.0
Hamden,2010,19639497.0
Hamden,2011,19771167.0
Hamden,2012,23014903.0
Hamden,2013,23026161.0
Hamden,2014,23067312.0
Hamden,2015,23079362.0
Hamden,2016,23050763.0
Hamden,2017,22975356.0
Hamden,2018,22839905.0
Hartford,2004,163350962.0
Hartford,2005,164040794.0
Hartford,2006,169206599.0
Hartford,2007,169077402.0
Hartford,2008,176869463.0
Hartford,2009,185563034.0
Hartford,2010,160387499.0
Hartford,2011,160712082.0
Hartford,2012,187631468.0
Hartford,2013,187912089.0
Hartford,2014,187196519.0
Hartford,2015,187705523.0
Hartford,2016,188198020.0
Hartford,2017,187921492.0
Hartford,2018,186667434.0
Hartland,2004,1138699.0
Hartland,2005,1187971.0
Hartland,2006,1225073.0
Hartland,2007,1207814.0
Hartland,2008,1292334.0
Hartland,2009,1352372.0
Hartland,2010,1159604.0
Hartland,2011,1145505.0
Hartland,2012,1350852.0
Hartland,2013,1350914.0
Hartland,2014,1359929.0
Hartland,2015,1359587.0
Hartland,2016,1356872.0
Hartland,2017,1295184.0
Hartland,2018,1155419.0
Killingly,2004,13046082.0
Killingly,2005,13159614.0
Killingly,2006,13563712.0
Killingly,2007,13659447.0
Killingly,2008,14639273.0
Killingly,2009,15143792.0
Killingly,2010,13013132.0
Killingly,2011,12950310.0
