Assignment Category,,Administrators  Coordinators and Department Chairs - District Central Office,Administrators  Coordinators and Department Chairs - School Level,Counselors  Social Workers  and School Psychologists,General Education - Paraprofessional Instructional Assistants,General Education - Teachers and Instructors,Instructional Specialists Who Support Teachers,Library/Media - Specialists (Certified),Library/Media - Support Staff,Other Staff Providing Non-Instructional Services/Support,School Nurses,Special Education - Paraprofessional Instructional Assistants,Special Education - Teachers and Instructors
Educator Type,,Certified,Certified,Certified,Non-Certified,Certified,Certified,Certified,Non-Certified,Certified/Non-Certified,Non-Certified,Non-Certified,Certified
City,report_year,,,,,,,,,,,,
COLEBROOK,2008,0.4,1.0,0.4,3.7,7.9,1.5,,1.0,6.5,1.0,3.3,1.2
COLEBROOK,2009,0.4,1.0,0.4,4.0,8.2,1.6,,1.0,6.7,1.0,2.6,1.6
COLEBROOK,2010,0.4,1.0,0.4,4.0,8.2,1.3,,1.0,6.2,1.0,2.6,1.0
COLEBROOK,2011,0.4,1.0,0.4,3.0,8.2,0.3,,0.6,6.1,1.0,2.6,1.0
COLEBROOK,2012,0.4,1.0,0.4,3.0,8.2,1.3,,0.0,6.0,1.0,3.0,1.0
COLEBROOK,2013,0.4,1.0,0.4,4.0,8.2,1.3,,0.0,6.3,1.0,3.0,
COLEBROOK,2014,0.4,1.0,0.7,5.3,8.4,1.3,,0.0,5.7,1.0,3.0,1.0
COLEBROOK,2015,0.2,1.2,,4.3,7.4,1.0,,0.0,5.6,1.0,3.0,1.0
COLEBROOK,2016,0.2,1.2,,5.4,7.4,1.0,,0.0,5.8,1.0,2.0,
CORNWALL,2011,0.5,1.0,0.9,2.2,14.8,0.5,,0.8,4.8,0.8,3.0,1.0
CORNWALL,2012,0.5,1.0,0.9,2.2,15.2,0.5,,0.8,4.8,0.8,2.3,1.0
CORNWALL,2013,0.5,1.0,0.9,2.5,15.2,0.5,,0.8,4.9,0.8,2.3,1.0
CORNWALL,2014,0.5,1.0,0.5,2.5,15.2,0.5,,0.9,4.9,0.8,2.3,1.0
CORNWALL,2015,0.5,1.0,0.5,1.7,15.2,0.5,,0.9,4.2,0.8,2.3,1.0
CORNWALL,2016,,1.5,0.5,2.6,15.0,0.5,,0.9,4.0,0.9,2.3,1.0
COVENTRY,2007,2.0,6.3,11.5,22.3,126.7,6.0,,3.0,81.7,5.0,29.0,21.0
DERBY,2010,2.0,5.2,9.0,27.0,91.0,3.0,,2.0,50.4,3.0,9.0,11.5
DERBY,2011,3.0,6.2,8.0,9.0,89.4,2.0,,2.5,53.0,4.0,33.0,12.3
DERBY,2012,3.0,6.2,8.0,7.9,86.5,2.0,,2.5,51.0,4.3,36.0,13.3
DERBY,2016,2.7,6.3,9.0,43.2,89.9,2.0,,2.3,64.6,4.3,22.0,15.5
EAST WINDSOR,2012,3.0,7.1,7.0,,86.9,4.4,2.8,,,,,12.0
EASTFORD,2008,0.8,1.0,0.5,3.0,12.3,,0.5,0.0,8.5,1.0,2.0,1.6
EASTFORD,2009,0.8,1.0,0.5,2.5,13.5,,0.5,0.0,7.5,1.0,4.0,2.0
EASTFORD,2010,0.8,1.0,0.5,2.5,13.6,,0.4,0.0,7.5,1.0,4.0,3.0
EASTFORD,2011,0.6,0.8,0.5,2.5,13.9,,0.4,0.0,8.0,1.0,4.0,2.7
EASTFORD,2012,0.6,0.8,0.5,2.9,13.3,,0.4,0.0,9.7,1.0,5.7,2.6
EASTFORD,2013,0.5,0.8,0.5,2.9,13.4,,,0.0,9.7,1.0,3.8,2.6
EASTFORD,2014,0.4,0.8,0.5,2.9,13.0,,,0.5,9.7,1.0,6.0,2.0
EASTFORD,2015,0.5,1.0,,2.9,13.3,,0.2,0.5,9.7,1.0,5.1,2.0
EASTFORD,2016,0.6,1.0,0.5,2.9,13.0,,0.2,0.5,9.2,1.0,4.5,2.0
EASTON,2016,,5.0,5.85,15.399999999999999,65.7,9.0,2.0,2.25,36.1,3.05,25.0,12.0
HAMPTON,2008,,1.0,1.0,7.0,12.9,0.7,0.7,0.0,2.9,1.0,5.0,1.0
HAMPTON,2014,0.5,1.0,0.9,2.2,11.4,,0.7,0.0,9.7,1.0,5.2,1.0
HAMPTON,2015,0.5,0.8,0.9,2.4,11.2,,0.6,0.0,9.4,1.0,4.4,1.0
HAMPTON,2016,0.5,0.8,0.9,2.4,10.6,,0.6,0.0,9.3,1.0,4.4,1.0
HEBRON,2014,2.5,2.5,2.0,8.8,57.1,7.0,,1.5,42.4,2.0,26.9,10.5
KENT,2016,,1.5,1.0,2.9,25.5,1.0,1.0,0.8,9.5,0.8,4.2,3.5
LISBON,2008,1.0,1.5,1.5,0.0,35.5,1.9,,0.0,26.5,1.5,1.0,8.5
LISBON,2009,1.5,1.0,1.8,2.5,35.5,1.6,,1.0,27.1,1.5,1.5,9.0
LISBON,2010,2.5,1.0,2.0,1.5,37.9,1.6,,1.0,24.5,2.2,2.5,8.0
LISBON,2011,2.5,3.0,2.4,1.5,36.6,1.8,,1.0,33.1,2.1,1.5,6.0
LISBON,2012,2.5,3.0,1.8,0.0,35.1,1.9,,1.0,37.4,1.1,2.0,7.4
LISBON,2013,2.5,3.0,1.8,0.0,33.3,1.9,,1.0,32.8,1.1,1.0,7.4
LISBON,2014,2.4,2.0,1.8,0.3,29.1,1.7,,1.0,30.6,1.0,2.0,6.0
MARLBOROUGH,2016,0.5,2.0,2.0,4.7,36.0,1.0,,0.5,27.0,1.0,12.0,4.0
NEW LONDON,2016,9.2,21.0,18.8,25.0,197.2,12.5,,3.0,182.5,12.5,33.0,42.4
NORFOLK,2015,0.5,1.0,,1.8,9.4,0.7,0.5,0.0,7.7,1.0,3.5,2.0
NORFOLK,2016,0.4,1.0,,1.6,9.4,1.0,0.5,0.0,7.8,1.0,3.7,1.0
NORWALK,2010,15.0,47.8,58.3,,711.8,28.0,4.0,,,,,91.1
NORWALK,2012,17.0,47.8,60.8,,740.1,29.0,3.0,,,,,91.1
NORWALK,2013,13.0,39.6,59.8,,690.1,21.0,2.0,,,,,84.1
PRESTON,2007,1.5,2.0,1.6,1.0,33.2,1.6,,0.0,30.5,1.6,26.0,9.4
SALEM,2012,1.6,2.0,2.7,1.2,33.6,3.2,,1.0,25.7,1.0,6.2,5.0
SALEM,2015,1.1,,2.0,7.7,25.0,2.0,0.6,1.0,25.4,1.0,8.4,5.0
SCOTLAND,2007,0.7,1.0,0.8,4.0,12.5,1.0,,1.0,8.8,1.0,5.6,3.0
SCOTLAND,2008,,1.0,0.9,4.6,12.8,1.0,,2.0,8.9,1.0,7.0,3.0
SCOTLAND,2009,0.5,0.5,1.0,3.0,12.3,1.0,,2.0,6.5,1.0,11.0,3.5
SCOTLAND,2010,0.5,0.5,1.0,4.0,12.3,1.0,,2.0,10.9,1.0,9.0,3.0
SCOTLAND,2011,0.5,0.5,1.0,4.2,11.6,1.0,,2.0,10.3,1.0,9.5,2.9
SCOTLAND,2012,0.5,0.5,0.9,3.7,11.6,1.0,,2.0,10.2,1.0,9.0,3.0
SCOTLAND,2013,1.0,,0.9,3.5,11.6,1.0,,1.6,9.9,1.0,7.7,3.0
SCOTLAND,2014,,1.4,1.0,3.0,10.8,1.8,,1.6,10.2,1.0,7.4,3.0
SCOTLAND,2015,0.4,1.0,1.0,3.0,12.1,1.0,,1.6,10.2,1.0,7.4,2.0
SHARON,2016,,1.5,2.0,2.0,21.0,1.0,1.0,1.0,7.8,1.0,9.4,3.5
SOMERS,2010,5.0,6.0,7.5,,102.8,3.7,3.5,,,,,16.8
STERLING,2007,1.4,1.0,1.6,9.5,27.0,1.0,,1.0,25.9,1.0,12.7,5.0
UNION,2007,0.4,0.6,,1.5,5.1,,,0.1,1.5,0.4,1.5,1.0
UNION,2008,,1.0,,1.0,5.1,,,0.1,1.5,0.8,1.0,1.0
UNION,2009,0.4,0.7,,2.0,5.4,,,0.1,2.5,0.8,0.0,1.0
UNION,2010,0.4,0.8,,2.0,5.3,,,0.1,2.0,0.8,0.0,1.0
UNION,2011,0.4,1.0,,2.0,5.9,,,0.1,2.0,1.0,0.0,0.8
UNION,2012,0.2,1.0,,2.0,5.3,,,0.0,2.0,1.0,0.0,0.8
UNION,2013,0.2,1.0,,,6.5,,,,,,,0.8
UNION,2014,0.2,1.0,,2.0,6.7,,,0.0,2.0,1.0,0.0,0.8
UNION,2015,1.2,,,2.0,7.3,,,0.0,2.2,1.0,1.5,1.4
UNION,2016,0.1,1.0,,0.0,6.7,,,0.0,2.2,1.0,3.3,0.5
VOLUNTOWN,2007,0.4,2.0,1.7,5.0,22.0,2.0,,1.0,20.8,1.0,18.0,3.0
VOLUNTOWN,2008,,2.4,1.7,7.0,22.0,2.0,1.0,0.0,20.3,1.0,12.0,4.0
VOLUNTOWN,2015,0.4,2.0,1.6,1.0,25.0,1.8,,0.0,20.3,1.0,13.0,4.0
VOLUNTOWN,2016,0.8,2.0,1.0,0.0,26.0,1.8,,0.0,21.3,1.0,14.4,4.0
WOLCOTT,2010,5.0,9.3,11.9,12.2,180.9,5.8,,5.0,131.4,5.0,40.5,27.0
WOODBRIDGE,2015,5.0,2.0,2.5,,61.0,2.0,1.0,,,,,8.0
