City,report_year,FTE Count,has_nulls,Education spending,Inter_Gov_Rev,Enrollment
CROMWELL,2010,334.8,False,26596305.0,6033567.0,2050.33
CROMWELL,2011,320.4,False,26568344.0,6066793.0,2019.6
CROMWELL,2012,336.9,False,28116330.0,7379711.0,2034.61
CROMWELL,2013,336.3,False,28339843.0,7538023.0,2044.45
CROMWELL,2014,333.9000000000001,False,29649940.0,7973832.0,2061.85
CROMWELL,2015,333.2,False,30610852.0,8336950.0,2099.62
CROMWELL,2016,331.8,False,31204449.0,7919803.0,2104.38
DANBURY,2007,1417.4,False,107317345.0,36546992.0,9884.65
DANBURY,2008,1433.6999999999996,False,114914158.0,42719455.0,9964.78
DANBURY,2009,1432.6,False,121411300.0,43575163.0,10132.82
DANBURY,2010,1437.5,False,117631730.0,40879804.0,10255.04
DANBURY,2011,1458.1,False,121036352.0,41012958.0,10482.72
DANBURY,2012,1412.3000000000004,False,129949781.0,47293595.0,10615.37
DANBURY,2013,1443.4000000000005,False,130444875.0,45650430.0,10727.08
DANBURY,2014,1536.9,False,135882098.0,46161761.0,10577.42
DANBURY,2015,1613.4,False,141957467.0,48767079.0,10686.85
DANBURY,2016,1634.4,False,144825555.0,47213313.0,10870.82
DARIEN,2007,727.7,False,64441577.0,8088165.0,4608.99
DARIEN,2008,736.6,False,89629028.0,29590967.0,4665.16
DARIEN,2009,745.2,False,74728039.0,10883824.0,4714.62
DARIEN,2010,744.6,False,76971943.0,10282461.0,4794.63
DARIEN,2011,740.6000000000001,False,80795051.0,11556311.0,4848.08
DARIEN,2012,729.6999999999998,False,86509642.0,13207295.0,4834.92
DARIEN,2013,727.5,False,90216733.0,13371459.0,4874.42
DARIEN,2014,784.4000000000002,False,96322274.0,14737968.0,4930.9
DARIEN,2015,798.3000000000002,False,99103639.0,13420590.0,4917.96
DARIEN,2016,826.6999999999998,False,102402057.0,14386285.0,4859.94
DEEP RIVER,2007,221.90000000000003,False,9087372.0,1995851.0,694.14
DEEP RIVER,2008,214.50000000000009,False,10083786.0,2853312.0,689.53
DEEP RIVER,2009,214.1,False,9898159.0,2524631.0,661.47
DEEP RIVER,2010,209.6,False,9469760.0,2191144.0,654.64
